John|Doe|19800101|Male|Married|Las Pinas|Store Manager
Jane|Doe|19800202|Female|Married|Las Pinas|Housewife
James|Doe|20100303|Male|Single|Las Pinas|St. James School|Grade 1
June|Doe|20190404|Male|Single|Las Pinas|Cerelac|Nido
Jake|Smith|19800505|Male|Married|Binan|Househusband
Jill|Smith|19800606|Female|Married|Binan|Marketing Manager
Jet|Smith|20100707|Male|Single|Binan|St. John School|Grade 2
Jacklyn|Smith|20100808|Male|Single|Binan|St. Peter School|Grade 3
Jack|Johnson|19800808|Male|Married|Bacoor|Bank Manager
Jennifer|Johnson|19801010|Female|Married|Bacoor|Store Clerk II
